Symbol,Description,Last,Net Chng,%Change,Volume,Bid,Ask,High,Low,Delta,Gamma,Theta,Vega,Open.Int
.NU221216P4,NU 100 16 DEC 22 4 PUT,.50,+.05,+11.11%,12,.45,.60,.50,.47,-.39,.26,.00,.01,"122,915"
.SBUX221216C92.5,SBUX 100 16 DEC 22 92.5 CALL,2.72,-.63,-18.81%,128,2.82,2.91,3.10,2.71,.35,.03,-.04,.14,"90,565"
.AAPL221021P135,AAPL 100 21 OCT 22 135 PUT,2.28,+.18,+8.57%,"19,154",2.24,2.28,2.63,1.65,-.32,.03,-.19,.08,"78,361"
.CANO221118C10,CANO 100 18 NOV 22 10 CALL,.75,-.10,-11.76%,663,.70,.80,.90,.70,.41,.12,-.02,.01,"65,716"
.VALE221021C14,VALE 100 21 OCT 22 14 CALL,.41,-.16,-28.07%,"4,807",.39,.42,.58,.38,.46,.33,-.02,.01,"65,557"
.SIRI221118P6,SIRI 100 18 NOV 22 6 PUT,.35,0,0.00%,<empty>,.25,.40,0,0,-.48,.51,.00,.01,"63,997"
.AAPL221118P140,AAPL 100 18 NOV 22 140 PUT,8.05,+.58,+7.76%,"4,171",7.95,8.05,8.35,6.80,-.48,.02,-.10,.18,"62,461"
.NKLA221118P3,NKLA 100 18 NOV 22 3 PUT,.51,+.02,+4.08%,313,.49,.53,.55,.45,-.41,.30,-.01,.00,"51,000"
.AMD221118P55,AMD 100 18 NOV 22 55 PUT,3.81,+.20,+5.54%,"17,458",3.70,3.75,4.35,3.21,-.36,.03,-.06,.07,"50,178"
.PBR221021C14,PBR 100 21 OCT 22 14 CALL,.45,-.26,-36.62%,207,.42,.66,.63,.45,.52,.29,-.03,.01,"45,675"
.KGC221216C4,KGC 100 16 DEC 22 4 CALL,.27,+.02,+8.00%,102,.23,.24,.27,.21,.41,.42,.00,.01,"42,134"
.BAC221118P30,BAC 100 18 NOV 22 30 PUT,1.80,+.42,+30.43%,"2,510",1.78,1.82,1.86,1.53,-.49,.09,-.02,.04,"40,275"
.BHC221118P6,BHC 100 18 NOV 22 6 PUT,.63,+.10,+18.87%,12,.57,.63,.63,.53,-.32,.15,-.01,.01,"40,190"
.PINS221118C25,PINS 100 18 NOV 22 25 CALL,2.03,-.79,-28.01%,"1,822",1.97,2.01,2.60,1.89,.45,.06,-.04,.03,"35,809"
.AAPL221118P135,AAPL 100 18 NOV 22 135 PUT,5.90,+.45,+8.26%,"3,404",5.80,5.90,6.20,5.00,-.38,.02,-.10,.17,"34,606"
.RIG221021C3,RIG 100 21 OCT 22 3 CALL,.14,-.06,-30.00%,545,.13,.14,.19,.12,.47,.99,-.01,.00,"34,307"
.MPW221118P11,MPW 100 18 NOV 22 11 PUT,1.10,-.21,-16.03%,991,1.05,1.15,1.39,1.05,-.46,.15,-.01,.01,"33,473"
.TCDA221118C25,TCDA 100 18 NOV 22 25 CALL,2.85,-.15,-5.00%,221,2.75,3.20,3.30,2.80,.49,.03,-.07,.02,"33,408"
.SNAP221021P10,SNAP 100 21 OCT 22 10 PUT,.87,+.08,+10.13%,"5,153",.85,.87,1.04,.75,-.40,.15,-.05,.01,"32,935"
.PTON221021C9,PTON 100 21 OCT 22 9 CALL,.57,-.22,-27.85%,"1,069",.59,.62,.81,.40,.49,.23,-.04,.01,"32,619"
.F221216C13,F 100 16 DEC 22 13 CALL,.52,+.07,+15.56%,789,.52,.54,.61,.41,.34,.14,-.01,.02,"31,602"
.AMZN221118C115,AMZN 100 18 NOV 22 115 CALL,6.68,-.82,-10.93%,"1,348",6.55,6.65,8.07,5.88,.48,.02,-.11,.14,"31,112"
.AMD221118C60,AMD 100 18 NOV 22 60 CALL,4.00,-.05,-1.23%,"9,413",3.95,4.00,4.49,3.32,.48,.03,-.07,.07,"30,910"
.TEVA221216P8,TEVA 100 16 DEC 22 8 PUT,.72,+.04,+5.88%,10,.62,.66,.72,.72,-.43,.22,.00,.01,"30,863"
.DKNG221021C15,DKNG 100 21 OCT 22 15 CALL,.44,-.24,-35.29%,"11,183",.43,.45,.71,.21,.32,.16,-.04,.01,"30,572"
.MSFT221021P225,MSFT 100 21 OCT 22 225 PUT,5.96,+1.46,+32.44%,"2,765",5.80,5.95,6.56,4.30,-.47,.03,-.32,.15,"30,344"
.AMD221118C65,AMD 100 18 NOV 22 65 CALL,2.20,-.02,-0.90%,"1,815",2.18,2.22,2.54,1.78,.32,.03,-.06,.07,"29,570"
.MPW221216P10,MPW 100 16 DEC 22 10 PUT,1.05,-.20,-16.00%,888,1.00,1.10,1.30,1.00,-.34,.09,-.01,.02,"29,069"
.INTC221118P25,INTC 100 18 NOV 22 25 PUT,1.88,+.10,+5.62%,"1,596",1.84,1.87,2.00,1.66,-.46,.08,-.03,.03,"28,097"
.NU221216C5,NU 100 16 DEC 22 5 CALL,.25,-.12,-32.43%,277,.25,.35,.30,.25,.36,.26,.00,.01,"27,260"
