Symbol,Description,Last,Net Chng,%Change,Volume,Bid,Ask,High,Low,Delta,Gamma,Theta,Vega,Open.Int
.CHPT221014P13.5,CHPT 100 (Weeklys) 14 OCT 22 13.5 PUT,.41,-.06,-12.77%,"21,795",.40,.43,.88,.36,-.41,.29,-.10,.00,"21,192"
.AAL221014C12.5,AAL 100 (Weeklys) 14 OCT 22 12.5 CALL,.31,+.07,+29.17%,"14,820",.30,.31,.64,.16,.42,.38,-.08,.00,"20,242"
.TSLA221014P210,TSLA 100 (Weeklys) 14 OCT 22 210 PUT,3.60,+.93,+34.83%,"45,667",3.55,3.70,4.35,1.73,-.34,.02,-1.07,.07,"15,478"
.NCLH221014P11.5,NCLH 100 (Weeklys) 14 OCT 22 11.5 PUT,.41,+.07,+20.59%,"4,871",.40,.42,.66,.29,-.44,.33,-.09,.00,"15,351"
.INTC221014P25,INTC 100 (Weeklys) 14 OCT 22 25 PUT,.55,-.01,-1.79%,"4,957",.55,.56,.75,.38,-.47,.27,-.11,.01,"14,672"
.CCL221014P6.5,CCL 100 (Weeklys) 14 OCT 22 6.5 PUT,.19,-.14,-42.42%,"4,331",.18,.19,.51,.16,-.40,.63,-.05,.00,"13,611"
.SOFI221014P5,SOFI 100 (Weeklys) 14 OCT 22 5 PUT,.16,-.02,-11.11%,"5,087",.16,.18,.31,.10,-.49,.96,-.03,.00,"12,367"
.PBR221014C14,PBR 100 (Weeklys) 14 OCT 22 14 CALL,.27,-.21,-43.75%,165,.20,.47,.44,.25,.50,.46,-.06,.00,"12,032"
.MARA221014P10.5,MARA 100 (Weeklys) 14 OCT 22 10.5 PUT,.69,+.08,+13.11%,"2,045",.66,.70,.98,.47,-.48,.24,-.13,.00,"11,338"
.ZM221014C75,ZM 100 (Weeklys) 14 OCT 22 75 CALL,1.50,-.20,-11.76%,"1,159",1.40,1.52,1.78,.60,.41,.08,-.38,.03,"10,218"
.DISH221014P13,DISH 100 (Weeklys) 14 OCT 22 13 PUT,.30,+.10,+50.00%,76,.20,.35,.39,.30,-.32,.29,-.08,.00,"10,074"
.SNAP221014C10.5,SNAP 100 (Weeklys) 14 OCT 22 10.5 CALL,.28,-.06,-17.65%,"3,123",.27,.29,.44,.14,.44,.43,-.07,.00,"9,621"
.TWTR221014C50,TWTR 100 (Weeklys) 14 OCT 22 50 CALL,.60,-.45,-42.86%,"5,228",.56,.57,1.02,.55,.50,.28,-.11,.02,"9,391"
.AMD221014C60,AMD 100 (Weeklys) 14 OCT 22 60 CALL,.82,-.16,-16.33%,"38,882",.80,.82,1.26,.51,.32,.09,-.27,.02,"9,061"
.AAPL221014C140,AAPL 100 (Weeklys) 14 OCT 22 140 CALL,1.96,-.96,-32.88%,"39,755",1.95,1.97,3.25,1.75,.45,.07,-.46,.05,"8,442"
.AMC221014P6,AMC 100 (Weeklys) 14 OCT 22 6 PUT,.25,+.04,+19.05%,"4,598",.23,.24,.29,.16,-.39,.48,-.06,.00,"8,330"
.F221014P11.5,F 100 (Weeklys) 14 OCT 22 11.5 PUT,.26,-.12,-31.58%,"7,563",.26,.27,.48,.16,-.46,.55,-.06,.00,"8,214"
.TSLA221014P215,TSLA 100 (Weeklys) 14 OCT 22 215 PUT,5.60,+1.60,+40.00%,"51,146",5.50,5.60,6.45,2.83,-.47,.03,-1.13,.08,"7,994"
.UAL221014C35,UAL 100 (Weeklys) 14 OCT 22 35 CALL,.65,-.10,-13.33%,"3,307",.61,.66,1.56,.32,.36,.14,-.19,.01,"7,394"
.AMZN221014P110,AMZN 100 (Weeklys) 14 OCT 22 110 PUT,1.58,+.35,+28.46%,"37,305",1.55,1.63,2.44,.80,-.35,.06,-.46,.04,"7,345"
.SNAP221014P10,SNAP 100 (Weeklys) 14 OCT 22 10 PUT,.24,+.03,+14.29%,"7,714",.23,.25,.45,.16,-.35,.39,-.07,.00,"6,926"
.ET221014P11.5,ET 100 (Weeklys) 14 OCT 22 11.5 PUT,.20,-.10,-33.33%,"4,937",.19,.21,.47,.15,-.47,.73,-.04,.00,"6,817"
.AAPL221014P139,AAPL 100 (Weeklys) 14 OCT 22 139 PUT,2.46,+.37,+17.70%,"27,343",2.42,2.47,2.94,1.52,-.48,.06,-.48,.05,"6,813"
.GME221014P25,GME 100 (Weeklys) 14 OCT 22 25 PUT,.84,-.26,-23.64%,"3,806",.80,.85,1.61,.53,-.43,.16,-.19,.01,"6,616"
.UPST221014P22,UPST 100 (Weeklys) 14 OCT 22 22 PUT,.74,-.66,-47.14%,"3,462",.73,.74,1.91,.55,-.32,.11,-.22,.01,"6,612"
.AMC221014C6.5,AMC 100 (Weeklys) 14 OCT 22 6.5 CALL,.17,-.13,-43.33%,"11,340",.15,.17,.35,.14,.35,.51,-.05,.00,"6,326"
.MU221014C55,MU 100 (Weeklys) 14 OCT 22 55 CALL,.78,+.56,+254.55%,"4,380",.78,.80,1.30,.12,.37,.12,-.23,.02,"6,221"
.AA221014P37,AA 100 (Weeklys) 14 OCT 22 37 PUT,.87,+.36,+70.59%,34,.76,.82,1.03,.48,-.37,.13,-.21,.01,"6,214"
.LOW221014P192.5,LOW 100 (Weeklys) 14 OCT 22 192.5 PUT,1.33,-.92,-40.89%,10,1.75,2.02,1.89,1.33,-.32,.04,-.60,.06,"6,106"
.PLTR221014P8,PLTR 100 (Weeklys) 14 OCT 22 8 PUT,.21,0,0.00%,"4,741",.20,.22,.40,.12,-.47,.72,-.04,.00,"5,777"
.INTC221014P24.5,INTC 100 (Weeklys) 14 OCT 22 24.5 PUT,.34,-.03,-8.11%,"8,029",.34,.35,.50,.27,-.34,.25,-.10,.01,"5,745"
.AAPL221014C142,AAPL 100 (Weeklys) 14 OCT 22 142 CALL,1.13,-.79,-41.15%,"39,290",1.12,1.18,2.17,1.04,.32,.06,-.39,.04,"5,720"
.BAC221014C30.5,BAC 100 (Weeklys) 14 OCT 22 30.5 CALL,.38,-.42,-52.50%,"3,083",.37,.40,.66,.33,.35,.22,-.12,.01,"5,568"
.AAPL221014P137,AAPL 100 (Weeklys) 14 OCT 22 137 PUT,1.65,+.27,+19.57%,"13,301",1.60,1.64,2.06,.98,-.36,.06,-.46,.05,"5,555"
.KHC221014C35,KHC 100 (Weeklys) 14 OCT 22 35 CALL,.45,+.25,+125.00%,"6,306",.44,.47,.46,.11,.49,.33,-.09,.01,"5,516"
